영단어,한국단어
AIR CIRCUIT BREAKER,기중( 氣中 ) 차단기
AIR CONDITIONER,공기 조절장치
AIR CUSION VEHICLE,공기 부양선
AIR HANDLING UNIT,공기 조화기
AIR HOLE,공기 구멍
AIR RELAY,공기식 계전기
AIR TEST,기밀 시험
AIR VENT,공기 배기용 창
AIR-BLAST CIRCUIT BREAKER,공기 차단기
AIRBORNE COLLISION AVOIDANCE SYSTEM,기상 충돌 방지 장치
AIS,선박자동식별장치
ALARM & MONITORING SYSTEM,각종경보 및 집중감시장치
ALIPHATIC HYDROCARBONS,지방족탄화수소용제
ALKYD PAINT,ENGINE ROOM 혹은 BOSUN STORE 및 거주구에 많이 사용되는 발청 방지용 도료
ALLOCATION QUANTITY,할당 수량
ALLOY STEEL BOILER AND HEAT EXCHANGER TUBES,보일러 열교환기용 합금강 강관
ALLOY STEEL PIPES,배관용 합금강 강관
ALLOY STEEL TUBES FOR STRUCTURAL PURPOSE,구조용 합금강 강관
ALTERNATE CURRENT,교류
ALTERNATING CURRENT,교류
ALUMINUM CABLE STEEL REINFORCED,강심 알루미늄 연선
AM (Amplitude Modulation),진폭 변조
AMERICAN BUREAU OF,미국 선급 협회
AMERICAN BUREAU OF SHIPPING,미국 선급 협회
AMERICAN INSTITUTE OF,미국 철구조물 건설 협회
AMERICAN INSTITUTE OF MERCHANT SHIPPING,미국선주협회
AMERICAN INSTITUTE OF STEEL,미국 철구조물 건설 협회
AMERICAN IRON & STEEL INSTITUTE,미국철강협회
AMERICAN IRON AND STEEL,미국 철강 협회
AMERICAN IRON AND STEEL INSTITUTE,미국 철강 협회
AMERICAN NATIONAL STANDARD INSTITUTE,미국 국제 표준 협회
AMERICAN PETROLEUM,미국 석유 협회
AMERICAN PETROLEUM INSTITUTE,미국 석유 협회
AMERICAN SOCIETY FOR,미국 재료시험 협회
AMERICAN SOCIETY FOR METAL,미국금속협회
AMERICAN SOCIETY FOR TESTING AND,미국 재료시험 협회
AMERICAN SOCIETY FOR TESTING MATERIALS,미국재료시험협회
AMERICAN SOCIETY OF,미국 기계 기술자 협회
AMERICAN SOCIETY OF MECHANICAL,미국 기계 기술자 협회
AMERICAN SOCIETY OF MECHANICAL ENGINEERS,미국기계공업협회
AMERICAN SOCIETY OF NON-,미국 비파괴 검사 협회
AMERICAN SOCIETY OF NONDESTRUCTIVE TESTING,미국비파괴시험협회
AMERICAN STANDARD ASSOCIATION,미국공업규격
AMERICAN STANDARD CODE FOR INFORMATION INTERCHANGE,컴퓨터의 내부 문자표현 코드
AMERICAN WELDING SOCIETY,미국 용접 협회
AMERICAN WIRE GAUGE,미국 와이어 게이지
AMPERE,암페어
AMPERE'S RIGHTHANDED SCREW RULE,암페어의 오른 나사의 법칙
AMPLIFIER,증폭기
AMPLITUDE MODULATION,진폭 변조
AMPLITUDE SHIFT KEYING,진폭 위상 변조
ANALOG DIGITAL CONVERTER,아나로그 디지털 변환기
ANGLE,산형재
ANGLE OF EXTINCTION,소호각
ANNUAL SURVEY,연차 검사
ANSI(American National Standards Institute),미국 표준협회
ANTI CORROSIVE,방청 도료
ANTI CORROSIVE PAINT,부식 방지 도료
ANTI FOULING,오염 방지 도료
ANTI FOULING PAINT,방오 도료
ANTI-ACRONYM ASSOCIATION,반약어 협회
ANTI-SUBMARINE WARFARE,대 잠수함전
ANTI-SURFACE VESSEL WARFARE,대 함전
ANTS (Automatic Navigation and Track-keeping System),자동항해및 침로유지 (針路維持)장치
AP (After Perpendicular),선미 수선(船尾垂線)
APHoMSA,아·태 해사안전기관장회의
API (American Petroleum Institute),미국 석유협회
APPARENT POWER,피상 전력
APPLICATION SPECIFIC IC,응용 주문형 집적회로
APPROACH CONTROL RADAR,근접관계 레이다
APPROVAL,승인
APT (After Peak Tank),선미 피이크 탱크
ARMATURE REACTION,전기자 반작용
ARPA (Automatic Rader Plotting Aids),레이다 자동충돌 예방 항법장치
ARTIFICIAL INTELLIGENCE,인공 지능
ASI (Allocated Stock Item),당용(當用)저장자재
ASME(American Society of Mechanical Engineers),미국기계학회
ASP,운용 서비스 제공자
ASSOCIATION FRANCAISE DE NORMALIZATION,프랑스 규격협회
AST (Anti-Suction Tunnel),선수(船首)스라스트측 관통구(貫通口
ASTM (American Society of Testing Materials),미국 재료시험협회
ASYNCHRONOUS MACHINE,비동기기
ASYNCHRONOUS PHASE MODIFIER,비동기 조상기
AT : Appearance Test,에이티시험
ATBA,피항 수역
AUDIO FREQUENCY,가청 주파수
AUDIO RESPONSE UNIT,음성 응답 장치
AUS (Auto Unloading System),자동부하경감 장치
AUSTRALIAN WATERSIDE WORKERS FEDERATION,오스트레일리아 연안노동자연합
AUTHORIZED INSPECTOR,공인검사관
AUTO TRANSFORMER,단권 변압기
AUTOMATED MUTUAL-ASSISTANCE VESSEL RESCUE SYSTEM,선박구조에 관한 상호 원조기국(미국)
AUTOMATIC APPROVAL,자동 승인
AUTOMATIC BRIDGE CONTROL SYSTEM FOR UNATTENDED ENGINE ROOM,ABS(미국 선급) 무인화등급
AUTOMATIC BRIGHTNESS AND CONTRAST,자동 휘도 콘트라스트 조절
AUTOMATIC BRIGHTNESS CONTROL,자동 휘도 조절
AUTOMATIC COMBUSTION CONTROL,보일러의 자동연소 제어
AUTOMATIC CONTROL ROOM FOR UNATTENDED ENGINE ROOM CERTIFIED,ABS(미국 선급) 무인화등급
AUTOMATIC CONTROL SYSTEM CERTIFIED,ABS(미국 선급) 무인화등급
AUTOMATIC DIRECTION FINDER,자동 방위 측정기
AUTOMATIC ROUTE SELECTION,자동 경로 선택
AUTOMATIC SEND/RECEIVE SET,자동 송수신 장치
AUTOMATIC START CONTROL,자동시동 조종장치
"AUTOMATIC TRAIN CONTROL, AUTOMATIC","자동 열차 제어 , 자동 교통 제어"
AUTOMATIC VEHICLE MONITORING SYSTEM,차량 위치 모니터링 시스템
AUTOMATIC VOLTAGE REGULATOR,자동 전압 조정기
AUTOMATION COMBUSTION CONTROL TEST,자동연소 조정시험
AUTOMATION DISTRIBUTION SYSTEM,배전 자동화 시스템
AUTOMATION FINE TUNING,자동 세밀 조정
AUTOMATION FREQUENCY CONTROL,자동 주파수 제어
AUTOMATION GAIN CONTROL,자동 이득 제어
AUXILIARY CONTROL CONSOLE,보기 제어 콘솔
AUXILIARY ENGINE,보조 기관
AUXILIARY MACHINERY ROOM,보조 기관실
AVR (Automatic Voltage Regulator),자동전압 조정기
AWB (Airway Bill) No.,항공화물수취증번호
AWES(The Association of Western European Shipbuilders),서유럽 조선공업협회
AWG(American Wire Gauge),미국 전선번호 규격
AWS(American Welding Society),미국 용접협회
AWWF(Australian Waterside Workers' Federation),오스트레일리아 연안(沿岸)노동자연합
Abaft,선미(船尾)방향으로
"Abandoned, Lost or otherwise Discarded Fishing Gear (ALDFG)",버려지거나 유실되는 폐어구
Abandonment of seafarers,선원의 유기
Abnormal Operation,비정상(非正常) 운전
Aboard,선내(船內)에
Abrasion Material/ Abrasive,연마제(硏磨劑)
Abs. Press. (Absolute Pressure),절대압력
Absolute Humidity,절대습도
Abutting Plate,인접(隣接)한 판
Acceptable Quality Level,합격품질수준
Acceptance / Approval,수락 / 승인
Access Hole,억세스홀
Access Ladder,출입용 사다리
Accessibility,접근의 난이도
Accession,가입
Accessory,부속품(附屬品)
Accident Prevention,사고 방지(事故防止)
Accommodation (Accom.),거주 설비
Accommodation Deck,거주갑판
Accommodation Ladder,현측(舷側) 사다리
Accommodation Plan,거주실 배치도
Accommodation Space,거주구역
Accomodation,거주설비
Accounting System,회계 제도
Accummulator,어큐뮬레리터
Accumulative Erection Weight Curve,탑재중량 누계곡선
Accumulator,축압기(蓄壓器)
Accuracy Control,정도관리(精度 管理)
Acetylene Gas,아세틸렌 가스
Acetylene Gas Generator,아세틸렌 가스발생기
Achievement of the Goals,목표(目標)의 달성
Acid Pickling,산세척(酸洗滌)
Acid Resisting Paint,내산페인트
Act of God,천재
Act or omission,작위 또는 부작위
Active Pass Filter,능동 필터
Active Power,유효 전력
Active substance,활성 물질
Activities on Critical Path,주공정상(主工程上)의 작업
Activity Duration Reduction,작업기간단축
Actual Manhours Used on Previous Ship,실적선(實積船)의 투입시수
Actual Throat,실제목두께
Actylene Welding,아세틸렌용접
Adapter,어댑타
Adaptive Delta Modulation,적응 델타 변조
Adaptive Differential Pulse,적응 차등 펄스 부호 변조방식
Additional Work,추가 공사(追加工事)
Additive,첨가제(添加劑)
Adhesion Test,부착력(附着力) 시험
Adjacent Block,인접(隣接) 블록
"Adjustable Condenser,",가변 콘덴서
Adjustable Inductor,가변 인덕터
Adjustable Pin Jig,조정가능 핀지그
"Adjustable Resistor,",가변 저항기
Adjustable Side Block,자동반목
Adjustable Thrust Block,조절식추력베어링
Adjusting Piece (Adj. Pc),조정 피이스
Administration,주관청
Admiralty Coefficient,애드미럴티계수
Admission Control,출 입통제
Admission Silencer,진입공기소음기
Aerofoil,에어러포일
Aeronautics,항공학
Aerovane,풍량풍속계
Afloat Condition,부양 상태(浮揚狀態)
Aftbody,선체후반부
After Draft,선미흘수
After Peak Bulkhead (A.P Bhd),선미격벽(船尾隔壁)
After Spring,애프터스프링
After-Bending Pipe,후곡(後曲) 관제작
After-burning,후연
After-generation,지연발생
After-hold,후부선창
Afterbody,후부 선체(後部船體)
Afterhood Plating,선미골재외판
Afterpeak Tank,선미피크탱크
Aftpeak Tank,선미탱크
Aftward,선미(船尾)쪽으로
Aggregate Production Planning,총괄생산계획
Agitation,교 반(攪拌)
Agreement,협정
Ahead,전진
Air Bottle,압축공기병
Air Burble Breakwater,공기거품 방파제
Air Change Rate,환기지수
Air Cock,에어콕
Air Compressor,공기 압축기
Air Conditioning Plant,공기조화 장치
Air Cooler,공기냉각기
Air Cooling,공냉
Air Dryer,탈습기
Air Ejector,공기 이젝타
Air Escape,공기도출구
Air Filter,공기여과기
Air Fuel Ratio,공연비(空燃比)
Air Hatch,공기창
Air Heater,공기예열기
Air Hole,공기(空氣) 구멍
Air Horn,공기호각
Air Louver,공기조절창
Air Pipe,공기관(空氣管)
Air Pipe Head,공기관 머리쇠
Air Quenching,공기 담금질
Air Resistance,공기저항
Air Separator,공기분리기
Air Support Vehicle,공기부양선
Air Test,기밀시험(氣密試驗)
Air Vent,에어벤트
Air Vent Head,공기배출 헤드
Air Whistle,에어휘슬
Air and Light Space,채광통풍공간
Air-blast Circuit Breaker,공기 차단기
Air-gap,에어갭
Airborne Collision,기상 충돌 방지 장치
Airborne Noise,공기전달 소음
Airfoil,에어포일
Airplane Warning Light,항공장애표시등
Aiternating Group Flashing Light,교색다섬광등
Ajar Hook,어자훅
Alarm Signal,위급신호
Alarm and Monitoring System,경보및 감시장치
Alcohol Engine,알코올기관
Alcohol Thermometer,알코올온도계
Alignment,중심맞추기
Alignment of Structure,선각구조의 정렬
Alkaline Battery,알카리 축전지
All Welded Metal Test Specimen,전용착금속시험편
All-round Light,전주등
Allowable Error,허용 오차(許容誤差)
Allowable Limits of Vibration to Human Body,인체진동허용한계
Allowable Load,허용 하중(許容荷重)
Allowable Pressure,허용압력
Allowable Stress,허용응력
Allowable Water Velocity,허용 유속(流速)
Allowance List,인도시 누락자재 목록
Allowance Time,여유시간(餘裕時間)
Allowance for Machining,기계가공 여유(餘裕)
Alloy,합금
Alloy Iron,합금철
Alloy Steel,합금강
Alongside Pier,접안
Alongside Repair,안벽 수리(岸壁修理)
Alongside Ship,접현
Alteration Survey,개조 검사(改造檢査)
Alternate Subcontractor,외주업체 변경(變更)
Alternating Light,교색광등
Alternative Repair Method,대체(對替) 수정방안
Alternator,교류(交流) 발전기
Aluminizing,알루마 도금(鍍金)
Aluminum Anode,방식(防蝕) 알루미늄
Aluminum Cable Steel,강심 알루미늄 연선
Ambient Temperature,주위온도(周圍溫度)
Amendment,개정
American National Standard,미국 국제 표준 협회
Amidships,선체(船體) 중앙부
Ammeter,전류계(電流計)
Ammonia Compression Refrigerating Machine,암모니아압축냉각기
Ammonium Nitrate Based Fertilizer,질산암모늄계 비료
Ampere,암페어
Ampere's Righthanded,암페어의 오른 나사의 법칙
Amplifier,증폭기(增幅器)
Amplitude,진폭
Amplitude Modulation,진폭 변조
Amplitude Shift Keying,진폭 위상 변조
Analog Digital Converter,아나로그 디지털 변환기
Analytical Insight,분석적 통찰력
Anchor Arm,앵커암
Anchor Ball,정박표시구
Anchor Buoy,앵커부이
Anchor Capstain,앵커캡스턴
Anchor Chain,앵커체인
Anchor Chock,앵커?
Anchor Crown,앵커크라운
Anchor Gear,닻장치
Anchor Light,정박등
Anchor Pattern,앵카 패튼(塗裝의)
Anchor Pocket,앵커 포켓
Anchor Point,고정(固定) 지점
Anchor Recess,앵커 리세스
Anchor Shackle,앨커새클
Anchor Shaft,앵커새프트
Anchor Stock,앵커스톡
Anchor Stopper,앵커스토퍼
Anchor Tumbker,앰커텀블러
Anchor Winch,앵커윈치
Anchoring,묘박
Anchoring Test,투양묘시험
Anemometer,풍속계
Anemoscope,풍위계(風位計)
Angle Valve (Ang. V/V),앵글(L형) 밸브
Angle of Extinction,소호각
Angle of Repose,적재안식각
Angle of Trim,종경사각
Annealing Furnace,어닐링로
Annex,부속서
Annual Survey,연차 검사(年次檢査)
Anode Current,양극전류(陽極 電流)
Anodic Protection,양극 방식(陽極防蝕)
Antenna,안테나
Anti-Corrosive Tape,방식(防蝕) 테이프
Anti-Corrosive Treatment,방식 처리(防蝕處理)
Anti-Rolling Bar,흔들림 방지봉
Anti-Skid Bar,미끌림 방지용봉(棒)
Anti-collision Light,충돌예방등
Anti-collision System,충돌예방장치
Anti-corrosive Paint,방식도료
Anti-fouling Composition,방오재
Anti-fouling Paint,방오도료
Anti-fouling Systems,방오시스템
Anti-friction Grease,마찰감소그리스
Anti-rolling Tank,감요 탱크
Anti-torpedo Armament,대어뢰장갑판
Anti-torpedo Boat Gun,대어뢰정포
Anticlockwise,반시계(反時計) 방향
Antifreezing Solution,부동액(不凍液)
Anvil Block,모루
Apparent Power,피상 전력
Apparent Slip,겉보기 슬립
Appeal on Disagreement,불복신청(不服申請)
Appearamt Wave Height,겉보기 파고
Appearant Wave Period,겉보기 파도주기
Applicable Rule,적용 규정(適用規定)
Applicable Standards,적용 규격(適用規格)
Application Specific IC,응용 주문형 집적회로
Apportioning and Absorbing,배부및 산입(간접비)
Apprentice,견습생(見習生)
Approval,승인(承認)
Approved Maker,승인된 메이커
Approved Plan,승인도
Approximate(Approx.) Calculation,대략(근사) 계산
Apron,에이프런
Arbitration,법적 중재(法的仲裁)
Arc,아크
Arc Brazing,아크 경납땜
Arc Cutting,아크절단
Arc Lamp,아크등
Arc Length,아크 길이
Arc Resistant Material,내아크성 재료
Arc Spot Welding,아크 점용접
Arc Strike,아아크 스트라이크
Arc Time,순수(純粹)용접시간
Arc Voltage,아크전압
Arc Welding,아크용접
Arc-air Gouging,아크 에어 가우징
Arch Vessel,아치형선
Archives,문서(文書) 보관소
Argon Arc Welding,알곤 아크용접
Armature Reaction,전기자 반작용
Armed robbery against ships,선박 무장강도
Armored Cable,외장(外裝) 케이블
Arrow Head,화살표
Article for Ships,선용품
Artificial Intelligence,인공 지능
Artificial Seasoning,인공시효처리
Artificial Ventilation,인공통풍
As-Built Drawing,최종(最終)준공도면
Asbestos,석면(石綿)
Assemble (Shipbuilding)Sipyard,어셈블 건조방식 조선소
Assembly,총회
Assembly Jig Plan,조립용 Jig플랜
Assembly Line,조립(組立) 라인
Assembly Stage,조립공정(組立工程)
Assess the Influence of,영향 평가(影響評價)
Assistant Oiler,조기원
Associated Work Processes,연관(聯關)작업공정
Association Francaise de,프랑스 규격협회
Astern Nozzle,후진노즐
Astern Test,후진시험
Astern Turbine,후진(後進) 터어빈
Asymmetric,비대칭적(非對稱的)
Asynchronous Machine,비동기기
Asynchronous phase,비동기 조상기
Athwartship,선체를 가로질러
Atm. Press.(Atmospheric Pressure),대기압(大氣壓)
Atmospheric Condenser,대기압식 복수기
Atmospheric Exhaust,대기배출
Atmospheric Pollution,대기 오염(大氣汚染)
Atmospheric Pressure,대기압
Atomic Hydrogen Welding,원자수소용접
Atomizer,분무기
Attained EEDI,EEDI 계산값
Attetion Attradting Light,주의환기신호등
Audio Frequency,가청 주파수
Audio Response Unit,음성 응답 장치
Authentic Text,정본
Authentication,인증
Auto Filter,자동 필타
Auto Pilot,자동조타장치
Auto Transformer,단권 변압기
Auto-plotter,자동작도기
Auto-starter,자동시동기
Automatic Approval,자동 승인(自動承認)
Automatic Arc Welding,자동 아크용접
Automatic Brightness,자동 휘도 조절
Automatic Brightness and,자동 휘도 콘트라스트 조절
Automatic Control,자동 제어(自動制御)
Automatic Control Device Operation Test,자동화기기 작동시험
Automatic Direction Finder,자동 방위 측정기
Automatic Exchange Telephone,자동교환식 전화
Automatic Fire Alarm System,자동화재경보장치
Automatic Fuel Oil Reservoir,연료유자동조절통
Automatic Gas Cutting,자동가스절단
Automatic Radar Plotting Aids : ARPA,자동충돌예방장치
Automatic Radio-telegrahp signal Keying Device,비상신호자동키장치
Automatic Route Selection,자동 경로 선택
Automatic Send/Receive,자동 송수신 장치
Automatic Sprinkler System,자동살수소화장치
Automatic Steering,자동조타
Automatic Tension System,자동장력조정장치
"Automatic Train Control,","자동 열차 제어 , 자동 교통 제어"
Automatic Vehicle,차량 위치 모니터링 시스템
Automatic Voltage Regulator,자동 전압 조정기
Automatic Welding,자동용접
Automation Distribution,배전 자동화 시스템
Automation Fine Tuning,자동 세밀 조정
Automation Frequency,자동 주파수 제어
Automation Gain Control,자동 이득 제어
Autonomous System,자율 시스템
Autopilot,자동조타기(操舵機)
Auxiliary Machinery (Aux. Mach.),보조기계(補助機械)
Available Capacity,가용능력(可用能力)
Available Energy,유효에너지
Available Heat,유효열량
Available Information,가용정보(可用情報)
Average,해손
Average Error,평균 오차(平均誤差)
Awning,천막
Axial Blower,축류송풍기
Axial Compressor,축류압축기
Axial Flow Pump,축류펌프
Axial Vibration Damper,종진동댐퍼
Axis of Weld,용접축
Azimuth Mirror,방위경
Azimuth Table,방위표
B mld (Moulded Breadth),형폭(型幅)
B/C ( Bulk Carrier),살물선(撒物船)
B/L ( Bill of Lading),선하증권(船荷證券)
BACK ORDER QUANTITY,후불 예약수량
BACKWARD WAVE OSCILLATOR,후진파 발진관
BALANCED TRANSFORMERLESS,비티엘
BALLAST,발라스트
BALLAST TANKS,밸러스트 탱크
BALTIC FREIGHT INDEX,런던의 발턱운임집회소에서 12개 주요항로별로 운임을 가중평균한 지수
BAND COMPRESSION,대역 압축
BARE BOAT CHARTER,단순 나용선
BARE BOAT CHARTER WITH HIRE PURCHASE,국적취득조건부 나용선
BARGE MOUNTED POWER,해상열병합 설비
BARGE MOUNTED POWER PLANT,해상열병합 설비
BARREL PER DAY,일일 생산량 .
BASE LINE,기준선
BASIC DRAWING,기본 도면
BASIC WIND SPEED,기본 풍속
BAUXITE,보크사이트
BBC (Bare Boat Charter),나용선(裸傭船)
BCH Code,위험화학품 산적운송 선박의 구조 및 설비를 위한
BCR (Ballast Control Room),발라스트 컨트롤 룸
BCSN,산적화물 운송명
BDN,연료유 공급서
BEAM,작은보
BEFORE 3RD COAT,중도 도장 검사
BEFORE 3RD COAT INSPECTION,중도 도장 검사
BFE (Builder Furnished Equipment),조선소 공급품
BHP (Brake Horse Power),제동 마력(制動馬力)
BHWP (Budgeted Hours of Work Performed),작업완료분의 예산 시수(豫算時數)
BHWS (Budgeted Hours of Work Scheduled),작업미완료분의 예산 시수(豫算時數)
BID,입찰
BID BOND,입찰 보증서
BILGE WELL,오수정
BILL OF LADING,선하 증권
BILL OF MATERIAL,자재불출 청구서
BIOCHEMICAL OXYGEN DEMAND,생물화학적 산소요구량
BIS( Built for In-Water Survey) Mark,수중검사를 위한 마킹
BISMUTH SILICON OXIDE,비스무트 규소 산화물
BLANK DIAMETER,블랭크지름
BLOCK,블록
BLOCK COEFFICIENT,방형 비척 계수
BLOCK DIVISION,작업량
BLOW OUT PREVENTION,분출방지장치
BOD(Biochemical Oxygen Demand),생화학적 산소요구량
BOG ( Boil-off Gas),증발가스
BOILDER GAUGE BOARD,보일러측에 설치된 보일러 제어반
BOILED OFF GAS,LNG화물창에서 자연 증발한 가스
BOILER SURVEY,보일러 검사
BOM ( Bill of Material),자재 명세서
BOM(Bill Of Material),특정제품이 어떤부품들로 구성되는가에 대한 데이터(자재명세서)
BONDED WAREHOUSE TRANSACTION,보세창고 인도조건
BRACKET,브라켓트
BRAZILIAN SHIPBUILDING ASSOCIATION,브라질 조선협회
BREADTH (MOULDED),형폭
BREAKER,분기 개폐기
BRIDGE CONTROL CONSOLE,선교 조종 CONSOLE
BRIDGE MANEUVERING SYSTEM,선교 제어장치
BRIDGE TYPE RELAY,브리지형 계전기
BRIDGING AMPLIFIER,분기 증폭기
BRIGHTNESS,휘도
BRINE,냉매 소금물
BRITISH STANDARD INSTITUTION,영국규격협회
BRITISH STANDARDS,영국표준공업규격
BRITISH STANDARDS INSTITUTION,영국 규격 협회
BRONZE CASTING,청동 주물
BS( British Standards),영국 표준공업규격
BSRA (British Ship Research Association),영국 선박연구소
BUILDING AUTOMATION SYSTEM,빌딩 자동화 시스템
BULK CARRIER,"BULKER라고도 하며 곡물,석탄등과 같이 별도로 포장된지 않은 상태로 적화. 운송하는 선박"
BULKHEAD,격벽
BULKHEAD DECK,격벽갑판
BUREAU VERITAS,프랑스 선급 협회
BURNER MANAGEMENT,버너조정시스템
BURNER MANAGEMENT SYSTEM,버너조정시스템
BUTTOCK LINE,종절선
BV : Bureau Veritas,비 브이
BV( Bureau Veritas),프랑스 선급(船級)
"BWMC (International Convention for the Control and Management of Ship's Ballast Water and Sediments, 2004)",선박평형수 관리협약
BWMS (Ballast Water Management System),선박평형수 처리설비
BWMS Code (Code for approval of Ballast Water Management System),선박평형수 처리설비 형식승인 코드
Babbit Metal,바비트 메탈
Back Assembly,후면(後面) 조립공사
Back Bead,뒷면 비드
Back Fire,역화(逆火)
Back Gouging,뒷면 가우징
Back Hook,문걸이
Back Metal,백메탈
Back Piece,뒷댐부재
Back Pressure,배압(背壓)
Back-hand Welding,후진 용접(後進熔接)
Background,배경(背景)
Backhand Welding,후진용접
Backing Strip,뒷받침 쇠붙이
Backing Weld,뒷면막기 용접
Backlash,백 래시(기아의)
Backside Marking,후면(後面) 마아킹
Backside Undercut,후면(後面) 언더컷
Backward Scheduling,후진계획(後進計劃)법
Backward Wave Oscillator,후진파 발진관
Bailer,베일러
Balance Weight,평형(균형) 추
Balanced Transformerless,비티엘
Balancing Machine,평형(균형) 시험기
Ball Bearing,볼베어링
Ball Joint,볼조인트
Ball Launching,볼진수
Ball Thrust Bearing,추력볼베어링
Ballanced Chain,밸런스드체인
Ballast,방전등용 안정기
Ballast Condition,밸러스트상태
Ballast Tank,발라스트 탱크
Ballast Water,선박평형수
Ballast water exchange,선박평형수교환
Ballast water management,선박평형수 관리
Ballast water management plan,선박평형수 관리계획서
Ballast water performance standard,선박평형수 배출성능 기준
Baloon Hatch,벌룬탑
Band Compression,대역 압축
Bar Keel,방형용골
Bar Steel,봉강
Barbette,포장갑
Barcelona Convention,바르셀로나 협약
Bare Electrode,알몸용접봉
Barge,부선(艀船)
Barge Loading Cutter Suction Dredger,바지적립식준설선
Barnacle,따개비등 조개류
Barred Speed,연속운전 금지구간
Barrel ( bbl),배럴 (158.99 ltr)
Barrow,손수레
Barstem,방형선수재
Base Block,바닥침목
Base Cargo,밑짐
Base Line,기선
Base Plate,밑판
Baseline (B.L),기선(基線)
Basic Concept,기본 개념(基本槪念)
Basic Design,기본 설계(基本設計)
Basic Requirement,기본적인 요구사항
Batch Purification,일괄청정
Battery Charger,충전기(充電器)
Battle Cruiser,순양전함
Battle Tracer,항적기록기
Beacon,입표
Beacon Station,표시국
Bead Welding,비드용접
Beam Knee,빔니
Beam Runner,빔 러너
Beam Sea,횡파
Beam Trawler,빔트롤러
Beam Wind,옆바람
Bearing,방위
Bearing Metal,베어링 메탈
Beaufort Scale,뷰우포오트 풍력 등급(風力等級)
Becket,베킷
Bedplate,베드(엔진等의)
Behind Schedule,공정 지연(工程遲延)
Bell Buoy,타종부표
Bell Whistle,종형기적
Bell with a Pilot Lamp,표시등붙이벨
Bellows,벨로우즈
Bellows Type Expansion Pipe Joint,벨로즈식 신축관이음새
Bench Mark,벤치 마크
Bending Moment,굽힘 모멘트
Bending Rolls,곡가공(曲加工) 장비
Bending Template,굽힘 본
Bent Pipe Fabrication,곡관제작(曲管製作)
Berth Declinity,선대 경사(船臺傾斜)
Berth Declivity,선대경사
Best Management Practices (BMP),(해적행위 방지를 위한) 최적관리기법
Bevel Angle,개선각도(開先角度)
Bevel Cut,베벨절단
Bevel Frame,베벨늑골
Bidet,비데
Bilge Block,빌지블록
Bilge Hat,빌지햇
Bilge Holding Tank,빌지 저장탱크
Bilge Hopper Tank,빌지호퍼 탱크
Bilge Keel,빌지 키일(횡요방지)
Bilge Plate,선저만곡부 외판
