영단어|한국단어|설명
Cattle Carrier|가축운반선|가축을 전용으로 운반하는 선박
Floodable Length|가침장|선박의 어떤 길이의 구획이 부력을 잃고 침수되어도 배의 침하가 한계선 이하로 일어나지 않는 길이
Square Stern|각형선미|배의 뒤끝이 수직평면으로 이루어진 선미
Hook Block|갈고리 도르래|고리에 걸도록 갈고리가 붙은 도르래
Speed Reduction|감속|추진기관의 출력조절로 선박의 속력을 늦추는 것
Anti-rolling Tank|감요 탱크|횡동요 감쇄탱크 참조
Deck Stanchion|갑판 기둥|2층갑판 사이에 세워진 수직기둥
Deck Exhaust Pipe|갑판 배기관|갑판기계에서 사용한 증기배기를 보일러로 되돌려보내는 파이프
Deck Scupper|갑판 배수구|상갑판의 양현에 설치된 배수구
Deck Beam|갑판 보|갑판 아래 일정한 간격으로 붙여진 종방향(Longitudinal) 또는 횡방향(Transvers)의 보강재
Deck Lomgitudinal|갑판 세로보|갑판 아래 세로방향으로 붙인 갑판보
Deck Stopper|갑판 스토퍼|앵커체인이나 결박용 체인을 갑판 위에서 고정시키는 기구
Deck Stringer|갑판 스트링거|갑판을 구성하는 강판 중 현측(가장자리)에 까는 강판
Booby Hatch|갑판 출입구|노출갑판에서 거주구역으로 통하는 출입구
Deck Crane|갑판 크레인|갑판 위에 설치되는 동력 기중기
Deck Plan|갑판 평면도|갑판의 구조배치가 표시된 평면도면
Deck Prism Light|갑판 프리즘|갑판유리와 같은 목적으로 갑판에 끼우는 채광 프리즘
Tween Deck Cargo Space|갑판간 화물창|2층으로 된 갑판(Tween Deck) 사이에 마련 된 화물창
Tween Deck Ladder|갑판간사다리|2층으로 된 갑판(Tween Deck) 사이를 오르내리도록 설치된 사다리
Deck Height|갑판높이|바닥(Base)에서 측정한 갑판의 수직높이
Deck Pipe|갑판배관|갑판상에 설치되는 각종 배관
Self Elevating Drilling Unit|갑판승강형 굴착선|굴착 시에 승강용 다리를 해저에 내리고 선체를 해면 위로 들어올려 석유 등을 굴착하는 굴착선
Deck Passenger|갑판여객|노천갑판 상에 태우는 승객
Sailer|갑판원|갑판부의 보통 선원
Deck Lighr|갑판유리|갑판 아래 공간의 채광을 위하여 갑판에 끼우는 두꺼운 유
Deck Wash Pump|갑판청소 펌프|갑판 청소용 급수펌프
Deck wetness|갑판침수|갑판의 일부분(선수의 노출갑판)이 파도를 맞아 물을 덮어쓰는 현상
Deck Side Line|갑판현측선|갑판 하면과 외판 내면이 만나는 선
Steel Deck|강갑판|철강판으로 된 갑판
Steel Ingot|강괴|용해된 강철을 몰드에 주입하여 일정한 크기로 만든 덩어리
Strength Freeboard|강도건현|국제만재흘수선규약에 따라 정해지는 선체 강도기준의 흘수선
Steel Ship|강선|철강재로 건조된 배
Steel Hawser|강제 호우저|배를 묶거나 끄는데 쓰는 철강제 밧줄
Steel Hatch Cover|강제창구덮개|철강재로 된 화물창구의 덮개
Forced Draft|강제통풍|송풍기로 공기를 화로에 강제적으로 불어넣는 통풍방식
Steel Plate|강판|강괴를 압연하여 판 상태로 만든 철강재
Closing Appliances|개구폐쇄장치|선내 각 부분의 개구부(Opening)를 막아주는 장치
Overhaul Inspection|개방검사|기계 또는 선체 등을 개방 분해하여 자세히 실시하는 검사
Open Type Bearing|개방베어링|안 쪽 링과 바깥 쪽 링이 분해되게 만든 베어링
amendment Plan|개정도면|설계도 상에 변경사항이 생겼을 때 그 내용을 포함하여 다시 작성된 도면
Inclusion|개지물|용접시 용착금속에 끼어들어간 불순물
Snatch Block|개폐식 도르래|로프를 끼우도록 몸통 덮개를 여닫을 수 있게 만든 도르래
Open Circuit Voltage|개회로 전압|회로가 끊어져 전류가 흐르지 않는 양 단자 사이의 전압
Passenger Ship|객선|여객을 운송하는 배
Gantry Crane|갠트리 크렌|레일 위에 네 발을 얹고 발에 달린 바퀴를 구루게 하여 이동하는 몸체가 큰 기중기
Galley|갤리선|옛날 지중해지방 토인들이 사용하던 10~12인승의 노를저어 움직이는 보트
Dang|갱|하역장치들의 편성 단위 또는 작업조직의 단위
Gangway Port|갱웨이 포트|사람이 출입하도록 선측에 뚫은 개구
Gunwale Angle(Bar)|거널 앵글(바)|선측 상단에 붙는 종통 형강재
Girder|거더|종방향으로 통하는 대형 골재
Girdre Space|거더간격|거더와 인접한 거더 간의 거리
Gooseneck Ventilator|거위목형 통풍통|물팅크나 기름탱크 등의 환기를 위하여 붙이는 거꾸로 된 U자형 파이프의 자연통풍통
Gudgeon|거젼|핀틀을 끼우기 위한 힌지로 선미재의 타축 핀이 지지되는 끝 부분
Accommodation Deck|거주갑판|선원이나 승객의 거주공간이 배치된 갑판
Accommodation Deck|거주설비|배안의 선원 및 여객이 거주하는데 필요한 설비들의 총칭
Accommodation Plan|거주실 배치도|배안의 거주실 배치를 나타낸 도면
Roughness Resistance|거칠기저항|선체 표면의 거칠기로 생기는 저항
Gutter Water Way|거터 배수로|갑판 위의 배구를 위한 수로
Dry Provision Store|건조 식량고|건조한 식량만을 저장하는 창고
Building Dock|건조선거|선박을 건조 할 수 있는 설비(기중기 등)가 갖추어진 건선거(Dry Dock)
Freeboard|건현|선체 중앙부 건현갑판의 현측상면에서 만재흘수선 까지의 수직거리
Freeboard Ratio|건현비|건현 높이와 배 길이의 비율
Dry Cargo|건화물|건조한 화물의 총칭
Boatswain`s Chair|걸이의자|마스트나 외판 등에 매달려 작업할 때 사용되는 1인용 걸이 의자
Test Hammer|검사 해머|기계나 조립품 등을 가볍게 두드려 나는 소리로 내부결함을 찾아내는 데 쓰이는 가벼운 망치
Inspection Cover|검사뚜껑|기계나 장치를 분해하지 않고 들여다볼 수 있게 뚫어논 구멍과 덮개
Tally Man|검수원|화물을 실을 때 화물의 수량을 확인 기록하는 사람
Quarantine Light|검역등|검역 중임을 표시하는 등으로 홍등과 백등을 상하로 달아 사용함
Qusrantine Boat|검역선|전염병 전파를 방지하기 위하여 해상검역활동을 하는데 이용되는 선박
Quarantine Port|검역항|국제항로에서 입항선박에 대한 검역을 실시할 수 있는 항구
Proof Mark|검인|배의 기기류와 기타 비품 등을 검사하여 합격된 것을 표시하는 마크
Appearamt Wave Height|겉보기 파고|파도의 꼭대기와 바닥 사이의 수직높이
Appearant Wave Period|겉보기 파도주기|파도의 정점이 선수를 지날 때와 다음 파도의 정점이 지날 때 사이의 걸리는 시간
Final Coating|겉칠|밑칠 중간칠을 마친 후 마지막으로 바르는 칠
Crab Factory Ship|게가공선|포획한 게를 해상에서 직접 가공하는 설비를 갖춘 배
Crab Mother Ship|게잡이 모선|게잡이 소형선을 거느리며 잡은 게를 모으고 필요 물자를 공급하는 모선
Slack Water|게조|밀물과 썰물 사이에 나타나는 흐름이 멈춘 상태로 하루에 4회 나타남
Bulkhead Liner|격벽 라이너|격벽 플랜지와 외판 사이의 라이너
Bulkhead Stool|격벽 스툴|창내 격벽의 상부 또는 하부에 설치되는 호퍼모양 또는 상자모양의 구조
Bulkhead Stuffing Box|격벽 패킹박스|수밀격벽의 축(Shaft) 관통부에 설치되는 물막이 패킹 상자
Bulkhead Deck|격벽갑판|선수격벽과 선미격벽 사이의 횡격벽이 미치는최상층의 전통갑판(통상 상갑판)을 일컬음
Bulkhead Recess|격벽골|격벽의 오목하게 들어간 부분
Bulkhead Plan|격벽구조도|격벽의 구조 부재와 배치를 나타내는 도면
Bulkhead Floor|격벽늑판|격벽위치에 있는 늑판
Grating|격자|기관실 가설통로 등에 깔리는 대발 모양의 바닥 구조물
Grating Bearer|격자 받침|격자를 지지해주는 받침구조물
Lap Joint|겹치기이음|두 부재의 끝이 적당한 폭으로 겹치게 하여 겹쳐진 두 면 끝을 필렛용접하는 이음법
Emergency Mooring Wire Rope|경계 와이어로프|태풍 등 조난시의 계선을 위하여 비치한 와이어로프
Warning Light|경계등|위험물을 적재하거나 기름 하역 중인 선박에서 위험상태를 표시하는 적색 등으로 마스트 같은 곳에 표시함
Light Scantling Vessel|경구조선|중구조선보다 가벼운 구조로 된 선박
Whale Back Vessel|경배선|거북등 갑판으로 된 선박으로 갑판과 외판이 둥글게 연결되고 시어(Sheer)가 없음
Mooring|계류|운항 하는 배를 일시적으로 묶어두는 것
Wet Dock|계류 독|간만의 차가 심한 수로에서 간조시에 수로 입구를 막아 배가 떠있도록 한 독
Mooring Buoy|계류 부이|항내에 계류용으로 띄워두는 부이
Mooring Winch|계류 윈치|횡축의 드럼에 계류 와이어를 감거나 풀어주는 윈치
Mooring Pipe|계류 파이프|계류 와이어가 지나도록 뚤린 불워크에 붙여준 파이프
Lay-up|계선|선박을 장시간 쓰지 않고 매어둠
Cowl Head Ventilator|고깔형 통풍통|화물창이나 기관실의 자연통풍에 사용되는 고깔 모양의 통풍통
Heighly Skewed Propeller : HSP|고스큐 프러펠러|프로펠러의 스큐각이 일반적으로 날개사이각의 50% 이상인 프러펠러
High Temperature Corosion|고온부식|연료에 포함된 바나듐 나트륨 등 고윤점물질에 의해 보일러의 과열기나 디젤의 배기밸브등 고온부재에 발생하는 부식
Non-opening Side Scuttle Fixed Light|고정 원현창|여닫을 수 없는 원형 현창
Fixed Pitch Propeller|고정피치 프로펠러|날개가 허브에 고정된 프로펠러
High Frequency Induction Welding|고주파 유도용접|고주파 유도열을 이용하여 용접부를 가열 가압하여 접합하는 맞대기 또는 심용접법
High Frequency Resistance Welding|고주파 저항용접|고주파전류를 모재에 직접 공급하며 용접부를 가압하여 접합하는 맞대 기(심)용접법
High Carbon Steel|고탄소강|탄소 함유량이 0.6% 이상인 철강
High Titanic Type|고티탄계|산화티타늄을 주성분으로 하는 피복제를 입힌 용접봉으로 박판용접 등에 쓰임
High Drug Puwer Anchor|고파지력 닻|종래의 스토크리스 앵커보다 큰 파지력을 갖는 닻
Heigh Alloy Steel|고합금강|여러가지의 합금원소가 많이 들어있는 합금강
Rigid Liferaft|고형구명뗏목|고체형 부유체로 만들어진 구명뗏목
Grain Carrier|곡물운반선|곡물운송에 쓰이는 전용선
Esge Grain|곧은결 널판|원목의 목심을 포함하는 중앙부를 잘라낸 널판
Goliath Crane|골리아스 크렌|건조 독 주변에 설치되는 다리 폭이 매우 넓은 대형 브리지형 주행 기중기
Stiffener Member|골재|판구조의 보강을 위하여 적당 간격으로 붙여주는 형강재
Skeleton Diagram|골조도|골조로 이루어진 철골구조물이나 건물의 뼈대구조와 구성부재를 나타내주는 도면
Tool Steel|공구강|공구제작에 쓰이는 철강으로 비교적 탄소강이 많고 경도가 높음
Air Quenching|공기 담금질|강철을 변태점 이상의 온도에서 공기에 방치하여 냉각시킴으로 경화되게 하는 열처리방식
Pnumatic Riveter|공기 리베터|압축공기를 이용하여 리벳의 머리모양을 형성해 주는 데 쓰이는 공구(공기 해머의 일종)
Air Burble Breakwater|공기거품 방파제|항구 입구의 수중에 파이프를 배관하여 압축공기를 뿜어 거품을 이르킴으로서 파도의 에너지를 흡수하여 항내의 파도를 줄이는 방식
Air Pipe Head|공기관 머리쇠|이중저 탱크나 기타 탱크 내의 공기가 빠지도록 설치된 배관이 갑판을 뚫고 올라온 윗 부분에 붙는 쇠붙이
Pneumatic Tube Fire Alarm System|공기관식 화재경보장치|방화구역 천장에 작은 공기관을 설치하고 화재로 인한 공기팽창을 감지하여 경보를 내는 장치
Air Cooler|공기냉각기|디젤기관의 과급공기를 물로 냉각시켜주는 기기
Air Escape|공기도출구|공기가 다른 유체의 부피증가로 인한 압력에 밀려 빠져나가는 구멍
Air Separator|공기분리기|액체 중의 공기를 분리하는 기구
Air Filter|공기여과기|공기를 여과하여 공기 중 불순물을 거르는 장치
Air Heater|공기예열기|연소가스의 배기열을 이용하여 기관이나 보일러 연소공기의 온도를 높여주는 장치
Air Resistance|공기저항|배가 전진할 때 공기에서 받는 저항
Air Louver|공기조절창|통풍방향을 조절할 수 있는 창문
Air Hatch|공기창|환기를 위하여 공간의 뚜껑에 설치되는 햇치로 사람의 통로로 쓰이기도 함
Air Horn|공기호각|압축공기로 진동판을 울려 소리내는 장치
Air Cooling|공냉|공기로 냉각시키는 것
Lead Paint|공명단 도료|붉은 색의 광명단(산화 납)을 주성분으로 하는 도료로 철의 방청도료로 사용됨
Factory Ship|공모선|포획어류의 가공과 모선 역할을 하는 어선
Official Trial|공식시운전|배가 완성되면 행하는 공식 시운전
Workshop|공작실|기관실 일부에 따로 두는 동작기계 등의 작업실
Shop Trial|공장시운전|기계를 조립한 후 출하 전에 공장에서 행하는 시운전
Racing|공전|배의 동요로 프로펠러가 물위에 떠서 갑자기 빨리 도는 현상
Eutectic Welding|공정용접|모재보다 융점이 낮은 용접봉으로 산소 아세틸렌불꽃이나 아크열을 이용하여 공정온도 근처에서 융합시키는 용접방법
Resonance|공징|고유진동수와 외력에 의한 강제진동수가 일치할 때 발생하는 심한 진동으로 진폭이 최대가 됨
Wide Blade|공폭날개|날개를 넓게 만든 프로펠러로 구축함 고속정 등에 사용됨
Supercharging|과급|내연기관의 출력을 높이기 위하여 실린더에 공급되는 공기를 압축하여 보내는 것
Overload|과부하|정해진 부하 이상으로 걸리는 부하
Fruit Carrier|과일운반선|과일을 저장하는 냉장설비를 갖춘 과일운반 전용선
Overloading|과적|만재흘수 이상으로 적재한 상태
Pipe Bender|관곡기|관을 굽히는데 사용되는 기계
Inspection Hatch|관찰 해치|화물창의 상태를 검사하기 위한 해치
Through Bracket|관통 브래킷|구조물을 관통하는 브래킷
Wide Area Network : WAN|광역통신망|광범위한 지역에 걸쳐서 설치되는 전산망
Mineral Oil|광유|원유에서 제조된 연료유 또는 윤활유
Photo Marking|광학마킹|축척된 필름을 확대시켜 투영하여 강판에 인화되게하는 마킹방식
AC Arc Welding|교류 아크용접|교류전원을 사용하는 아크용접
Alternating Light|교색광등|색깔이 다른 빛을 교대로 내며 그 사이의 불빛이 계속 비취는 항로표시등
Aiternating Group Flashing Light|교색다섬광등|한 주기 동안 2회 이상의 섬광을 내며 등의 색이 변하는 항로표시등
life Jacket|구명동의|조난시 승선자가 착용하는 부력을 유지해 주는 재킷
Life Boats Throwing and Lowering Test|구명정승강시험|구명정에 규정하중을 싣고 수면에 내리고 올리는 시험
Embarkation Ladder|구명정용 줄사다리|현측에 내리어 조난자가 구명정에 올라오게 하는 줄사다리
Life Line|구명줄|물에 뜨는 구조용 줄로서 조난자가 잡도록 하여 구조함
Life Line Throwing Appliance|구명줄 발사기|본선에서 멀리 떨어진 조난자가 잡도록 구명줄을 멀리 보내는 장치
Bulbous Bow|구상선수|조파저항과 쇄파저항을 줄이기 위하여 선수부의 수선 아래를 둥근 모양으로 돌출시킨 선수
(Bulbous)Bow Warning Light|구상선수 주의등|구상선수가 있음을 알리기 위하여 켜는 선수등으로 적색 또는 청색이 있음
Construction Profile|구조도|선체중심선의의 종단면에 주요부재비치와 치수를 나타낸 도면
Rescue Ladder|구조용사다리|화재선에서 탈출하거나 진압을 위하여 접근할 때 사용되는 사다리
Rescue Boat|구조정|해상조난 구조용 소형선박으로 자항능력과 의장품을 갖추고 있음
Gooseneck Bracket|구즈넥 브래킷|데릭포스트 아래에 붙여 데릭붐을 지지하는 쇠붙이
Local Strength|국부강도|선체 특정부분의 강도
International Load Line Convention|국제만재흘수선 협약|배의 화물적재 상한기준을 정하는 국제협약
War Ship|군함|전투에 사용되는 무장된 함정
Bending Template|굽힘 본|굽힘가공 시에 맞춰보며 작업하는 굽힘 본(곡형)
Crack Arrester|균열 멈추개|균열의 발생과 전파를 막기 위해 사용하는 부재 또는 구조
Grab Bucket|그래브 버킷|토사를 굴삭하여 움켜올리는 개폐식 버킷
Grader Vessel|그레이더선|준설된 해저면을 고르게 긁어주는 배
Grain Capacity|그레인 용적|벌크화물을 운반하는 화물창의 용적을 나타내는 방식
Green Water|그린 워터|거친 해상에서 선박의 갑판에 해수가 다량으로 유입되는 현상
Local Area Network : LAN|근거리지역 통신망|인접지역내의 테이터통신망
Metal Arc Welding|금속 아크용접|용착되는 금속봉과 모재로 된 두 극간의 아크열로 용접하는 용접법
Water Boat|급수선|항내 정박중인 선박에 식수를 공급하는 배
Feeder Panel|급전반|선내에 전원을 공급하는 패널
Blowhole|기공|접금속의 내부에 생기는 작은 공간. 용융금속에 섞여있는 여러 가지 기체가 미처 방출되지 못하고 응고된 상태
Unattended Machinery Automation Ship : UMA|기관구역무인화선|기관실 당직자가 없이도 운항할 수 있는 설비를 갖춘 선박
Engine Watch|기관당직|시간을 정하여 교대로 기관실의 운전을 감시하는 것
Engine Room Bulkhead|기관실격벽|기관실 앞에 설치되는 수밀 횡격벽
Engine Room Arrengement|기관실배치도|기관실 안의 주기를 비롯한 각종 기기와 설비를 나타내주는 도면
Chief Engineer|기관장|기관부의 최고책임자
Gig|기그|길이 10m 미만의 좁은 트랜섬 선미의 배로 돛과 노로 움직임
Oil Recovery Equipment|기름 회수기|해상에 유출된 기름을 회수하는 장치
Oil Lubricated Stern Tube Bearing|기름윤활식 선미베어링|기름으로 윤활하는 선미베어링
Purifier Room|기름청정기실|청정기실과 같은 뜻으로 기름청정기가 모여있는 공간
Oil Absorption Mat|기름흡착 매트|해면의 유분을 흡착하는 매트
Sailing Ship with Auxiliary Machinery|기범선|보조추진기를 갖춘 100~200톤의 범선
Flag Locker|기상자|신호기를 수납하는 상자
Flag Rack|기서랍|기를 넣어두는 서랍
Base Line|기선|선체 중앙에서 용골상면을 지나는 수평선으로 선체 치수의 기준이 되는 선
Steam Ship|기선|스팀 터빈을 주기관으로 하는 선박
Geared Trolley|기어드 트롤리|이송용 기어와 체인이 연결된 트롤리
Geared Duesel Fngine|기어드디젤기관|감속기어를 통해서 추진기를 회전시키는 디젤기관
Air Horn|기적|압축공기로 경적이 나게하는 장치
Signaling Light for Air Horn|기적신호등|기적이 울릴 때 동시에 점등하여 눈에 띄게 하는 경고
Crane Barge|기중기바지선|기중기가 갑판에 고정되어 하역작업을 주로 하는 바지
Emergency Stop Test|긴급정지시험|기관의 긴급정지를 확인하는 시험
Running-in Trial|길들이기 조정운전|주기 조립 후 연속가동시운전 이전에 적당시간 길들이기를 위하여 행하는 시운전
Staple|꺽쇠|목재를 결합할 때 사용되는 ㄷ자형의 쇠붙이
Tail Block|꼬리도르래|밧줄이 달린 도르래
Edge Preperation|끝가공|용접을 위하여 모재의 모서리를 적당한 경사로 다듬는 것
End Link|끝고리|체인의 끝에 붙은 연결용고리토막
Screwed Flange|나사 플랜지|관 끝과의 연결을 나사로 한 플랜지
Thread Gauge|나사게이지|나사의 치수가 정해진 공차에 맞는지를 재는 계기
Screw Type Chain Stopper|나사닻줄멈추개|앵커체인과 링크되어 턴버클로 당겨 고정하는 기기
Thread Miller|나사밀러|고속으로 나사를 절삭하는 준용 공작기계
Screw Conveyor|나사식 컨베어|U자형 단면의 긴 용기에 나선형으로 날개붙은 축을 회전시켜 담겨진 알갱이 물체를 한 쪽으로 이동시키는 컨베어
Herical Angle|나선각|나선과 나선 축에 수직한 평면과 각도
Winding Staires|나선계단|수직축을 중심으로 나선모양으로 돌아가며 발판을 설치한 계단
Naked Hull|나선체|선체 표면에 부가물이 붙지 않은 선체
Screw Propeller Ship|나선추진기선|나선프로펠러로 추진하는 선박
Screw Propeller Ship|나선프로펠러|선박용 추진기로 가장 많이 쓰이는 고정식 날개가 달린 프로펠러
Knight Head|나이트헤드|목선의 선수재 양쪽에 붙는 부재
Knife Switch|나이프스위치|접개칼 모양으로 단자가 끼워지는 스위치
Prize|나포선|강제로 잡혀온 배
Parachute Signal|낙하산붙이 신호|화약으로 공중발사하면 낙하산이 펴지며 매달린 불꽃이 천천히 떨어지며 빛을 보내는 신호기
Drop Test|낙하시험|물체를 낙하시켜 충격강도를 확인하는 시험
Fishing Platform|낚시대판|낚시를 위한 대판
Turbulent Fliw|난류|유속의 크기와 방향이 불규칙하게 변동하는 흐름
Turbulence Stimulator|난류촉진장치|모형선 주위의 파도를 실제와 유사하게 하기 위하여 모형선 선수부 주위에 부가불을 붙어 난류를 발생시키는 장치
Heating Arrangement|난방장치|실내온도를 적절하게 데워주는 장치
Fire Retarding Material|난연재|잘 타지 않는 재료
Wreck|난파선|조난으로 부서진 배
Blade Angle|날개각|터빈 또는 펌프 등에서 날개 입구각 또는 출구각의 총칭
Blade Angle Indicator|날개각 지시계|가변피치프로펠러 등의 피치각을 원격지시하는 계기
Tip Emergence|날개끝 노출|정수면 위로 노출된 날개의 최대길이
Tip Leakage|날개끝 누출|터빈날개의 끝과 케이싱 사이로 증기가 새어나가는 것
Tip Cavitation|날개끝 캐비테이션|프로펠러 날개끝에 발생하는 표면 캐비테이선
Tip Clearance|날개끝 틈새|호전날개의 끝과 케이싱 사이의 거리
Blade Efficiency|날개효율|터빈의 회전날개에서 유체가 발생시킨 일과 이론상의 최대일과의 비율
Soldering Iron|납땜인두|납을 녹여서 부재에 붙이는 데 사용하는 구리인두
Lead Wire|납실|틈새를 채우는데 사용되는 납으로 만든 가는 실
Lead-alloy-sheathing|납피복|방식과 방부를 위하여 전선 등을 납으로 싸는 것
Grain Cargo|낱알화물|곡물과 같은 입자상태의 화물
Inner Hull|내각|잠수함과 같은 이중선각구조에서 안 쪽의 선각
Narrowgap Welding|내로갭 용접|후판의 맞대기용접에서 V형 또는 U형의 좁은 틈(홈)을 메꾸어나아가는 아크용접
Internal Buoyancy|내부부력|구명정이 침수되어도 가라앉지 않도록 구명정 내부에 붙는 예비부력(구명정 용적의 1/10 이상)
Internal Stress|내부응력|외력을 받는 구조부재의 내부에 평형을 유지하기 위해발생되는 단위면적 당 힘의 세기
Acid Resisting Paint|내산페인트|산에 대한 저항력이 큰 도료
Moisture Resistant Insulating Material|내습성 절연재료|습기에 강한 절연재료
Arc Resistant Material|내아크성 재료|사용 중에 아크가 반복 발생하여도 표면이 잘 손상되지 않는 재료
Internal Conbustion Emgine|내연기관|실린더 안에서 연료와 공기의 혼합가스를 연소시켜 얻은 에너지를 이용하는 열기관
Internal Conbustion Turbine|내연터빈|연소기에서 얻은 열로 공기를 가열하여 작동유체로 사용하는 가스터빈
Inner Bottom Longitudinal|내저종늑골|내저판 아래 종방향으로 붙이는 골재
Inner Harbor|내항|방파제 안쪽의 항내 수역
Domestic Vessel|내항선|국내 항로에서만 운항하는 선박
Seakeeping|내헌공|해상에서 배의 정상기능을 유지할 수 있는 능력
Fire-proof(Fire-resisting) Test|내화시험|전선이 내화성 또는 내염성인 것을 확인하는 시험
Fire Clay|내화점토|내화벽돌 쌓기나 기타 내화물의 메우기 등에 사용되는 내화도가 높은 점토
Cooling Air Jacket|냉각공기재킷|찬 공기를 강제유통시켜 안 쪽을 냉각시키도록 입힌 재킷
Cooler|냉각기|물체를 냉각시키는 장치
Cooling Water|냉각수|고온의 대상물을 냉각시키기 위해서 주위를 순환하며 식혀주는 물
Cooling Water Jacket|냉각수재킷|내연기관의 과열을 막기 위해 실린더 둘레로 순환시켜주는 찬물을 에워싼 재킷
Cooling Test|냉각시험|가동상태에서 냉동장치의 성능을 확인하는 시험
Coolant Quenching Liquid|냉각액(원자로)|핵분열에서 발생하는 열을 흡수하여 원자로를 식히면서 열을 동력으로 전달해주는 액체
Chilled Casting|냉각주물|용탕을 금형에 주입할 때 형에 닿는 면이 급냉되어 변화된 주물
Cooling Coil|냉각코일|고온의 유체를 식히기 위해 냉각기에 설치한 코일모양의 냉각관
Cold Drawn Pipe|냉간인발관|파이프소재를 재결정온도 이하에서 다이스를 통하여 뽑아낸 파이프
Cold Shortnedd|냉간취성|저온에서 물성이 취약해지는 것
Refrigerated Cargo Carrier|냉동(냉장)운반선|화물의 냉동(냉장)상태를 유지하면서 운송하는 전용선
Continueous Survey for Refrigerating Installation|냉동기계속검사|선주요구에 따라 12개월 간격으로 시행하는 냉동기의 선급검사
Freezing Carrier|냉동선|선창에 냉동장치를 갖추고 냉동화물을 운반하는 선박
Refrigerating Container Ship|냉동컨테이너선|냉동컨테이너를 운반할 수 있도록 화물창에 전원설비 등을 갖춘 컨테이너선
Cold Stirage Boat|냉장선|선창이 냉장고로 되어 과일 채소 등의 냉장화물을 운반하는 선박
Cold Air Blast System|냉풍식|영하 35℃ 부근의 찬 바람으로 식품을 급속냉동시키는 방식
Swell|너울|바람에 의하지 않고 전파되는 파장이 긴 물결
Knuckle|너클|선미부나 빌지부에서 외판이 각을 이루며 꺾이는 부분
Knuckle Molding|너클몰딩|선미의 너클부분에 붙이는 장식용 조각
Overflow Pipe|넘칠관|탱크 내부에 유체가 넘쳐나오도록 붙인 상부의 관
Overflow System|넘침장치|진흙탱크의 윗층 물을 넘쳐나오게 하는 장치
Nesting|네스팅|주어진 판재에 작은 각종 부재들을 여백이 적도록 배치하는 작업
Oar|노|사람이 배를 젓는데 쓰는 나무막대기
Rowlock|노걸이|노를저을 때 노를 지지하는 회전점
Oar Lifeboat|노구명정|노로 추진하는 구명정
Normalizing|노멀라이징|A3 변태점 보다 40~60℃ 높은 온도로 가열한 후 서서히 대기 중에서 냉각시키는 열처리 방식
Core|노심|원자로 내에 핵연료가 들어있는 부분
Nozzle-control Governing|노즐조절|증기의 처음 상태를 노즐로 변화시켜 터빈의 출력을 조절하는 방법
Wether Deck|노천갑판|덮개 없이 대기에 노출되어있는 갑판
Wether Ladder|노천사다리|노천부 갑판에 오르내리도록 설치된 사다리
Exposed Core|노출 심선부|피복아크 용접봉의 끝을 홀더에 끼우도록 피복하지 않고 노출되어있는 부분
Exposed Core|노출심|피복아크용접봉의 심이 노출된 끝부분
Notch Sensitivity|노치감도|노치모양과 재료의 피로강도와의 관계를 나타내는 계수
Norch Coefficient|노치계수|동일한 재료에 노치를 준 것과 없는 것의 피로한도를 비교한 비율
Notch Bend Test|노치굽힘시험|노치가 있는 시험편의 굽힘강도를 조사하는 시험
Notch Effect|노치효과|노치가 구조부재의 피로한도에 미치는 영향
